Date,Region,Species,Sepal_Length,Sepal_Width,Petal_Length,Petal_Width
9/2/2018,JBRO,01JKP169,4138390.52,4568580.1,77.51,4138390.52
9/3/2018,JBRO,01JKP169,4163076.36,4605178,79.59,4163076.36
9/4/2018,JBRO,01JKP169,3690964.98,4045921.58,70.02,3690964.98
9/5/2018,JBRO,01JKP169,3699745.23,4063924.32,69.33,3699745.23
9/6/2018,JBRO,01JKP081,0,0,0,0
9/6/2018,JBRO,01JKP169,4726627.2,5195596.6,76.64,4726627.2
9/7/2018,JBRO,01JKP081,2806358.74,3091197.33,67.24,2806358.74
9/7/2018,JBRO,01JKP169,4285954,4683543.3,75.5,4285954
9/8/2018,JBRO,01JKP081,3285301.07,3617328.46,64.75,3285301.07
9/8/2018,JBRO,01JKP169,3842726.17,4219892.66,73.56,3842726.17
9/9/2018,JBRO,01JKP169,3994271.09,4405774.5,76.42,3994271.09
9/9/2018,JBRO,01JKP081,2870136.8,3171231.2,59.93,2870136.8
9/10/2018,JBRO,01JKP169,4053362.8,4452147.3,77.95,4053362.8
9/10/2018,JBRO,01JKP081,2678767.48,2960307.78,56.84,2678767.48
9/11/2018,JBRO,01JKP169,3781876.78,4163353.71,73.8,3781876.78
9/11/2018,JBRO,01JKP081,3130516.05,3451984.28,63.91,3130516.05
9/12/2018,JBRO,01JKP081,2785441.48,3053180.16,58.54,2785441.48
9/12/2018,JBRO,01JKP169,4271273.93,4711833.4,80.21,4271273.93
9/13/2018,JBRO,01JKP169,3971343.71,4347318.76,75.47,3971343.71
9/13/2018,JBRO,01JKP081,3498587.19,3833354.78,67.74,3498587.19
9/14/2018,JBRO,01JKP081,3671022.37,4023080.71,65.8,3671022.37
9/14/2018,JBRO,01JKP169,4038754.04,4472855.6,78.98,4038754.04
9/15/2018,JBRO,01JKP081,4145821.52,4548218.8,67.59,4145821.52
9/15/2018,JBRO,01JKP169,4011404.03,4445595.8,79.94,4011404.03
